article_id;file_name;sensitive_topic_adult;sensitive_topic_arms;sensitive_topic_crime;sensitive_topic_death;sensitive_topic_drugs;sensitive_topic_hate_speech;sensitive_topic_obscenity;sensitive_topic_piracy;sensitive_topic_sensitive;sensitive_topic_sensitive_and_social_issue;sensitive_topic_social_issue;sensitive_topic_spam_and_harmful_content;sensitive_topic_terrorism
6221650;0;0;0;0;0;0;0;1;0;0;0;0;0;0
6221652;0;0.07870528;0.030634405;0.17719811;0.26144704;0;0;0;0.01713968;0.016039092;0.14740913;0.13137004;0;0.14005724
6221699;0;0;0;0;0;0;0;0.36321056;0;0.31839472;0.31839472;0;0;0
6221703;0;0;0.5015812;0;0;0;0;0.49841878;0;0;0;0;0;0
6221742;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6221753;0;0;0.042954173;0.042921748;0.04631641;0;0.04950157;0.044758167;0;0;0;0;0.7245877;0.048960265
6221776;0;0;0.50825655;0;0;0;0;0;0;0;0;0;0;0.49174345
6221793;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6221798;0;0;0;0;0;0;0;0;0;0;0;0;1;0
6221816;0;0.121696785;0;0.28272042;0.23973149;0;0.042332754;0.04072174;0;0;0.038890507;0.038890507;0.038599025;0.15641676
